আপনার দেওয়া তালিকার তথ্যের ভিত্তিতে CSV ফরম্যাটের জন্য কমা দিয়ে নিচে সাজিয়ে দেওয়া হলো:

date,ticker,high,low,close,volume
7/12/2026,FUWANGFOOD,12.3,12,12,550869
7/12/2026,GBBPOWER,8.3,8.1,8.1,355764
7/12/2026,GEMINISEA,128,123,126,108725
7/12/2026,GENEXIL,44.2,40.8,41.4,6095342
7/12/2026,GENNEXT,2.9,2.7,2.7,5458832
7/12/2026,GHAIL,15.7,15.4,15.4,1828095
7/12/2026,GHCL,21.1,20.4,20.5,135245
7/12/2026,GLDNJMF,7.4,6.9,7.4,1385821
7/12/2026,GLOBALINS,45.8,44,44.2,1647607
7/12/2026,GOLDENSON,17,16.5,16.6,2590579
7/12/2026,GP,259.3,256,259.1,167069
7/12/2026,GPHISPAT,20.4,19.8,19.9,4053158
7/12/2026,GQBALLPEN,621,587.1,598.6,23779
7/12/2026,GRAMEENS2,13.5,13,13.4,1055347
7/12/2026,GREENDELMF,4.3,4,4.3,2273865
7/12/2026,GREENDELT,71.4,69,69.8,351628
7/12/2026,GSPFINANCE,3.6,3.4,3.5,161769
7/12/2026,HAKKANIPUL,87,82,86.2,1179093
7/12/2026,HAMI,153,146,146.5,28498
7/12/2026,HEIDELBCEM,240.9,226.4,236.9,66572
7/12/2026,HFL,14.4,12.7,14,312304
7/12/2026,HIMADRI,482.9,465,469.6,614
7/12/2026,HRTEX,22.9,21.7,22.1,242628
7/12/2026,HWAWELLTEX,48.4,47.7,47.9,231032
7/12/2026,IBNSINA,329.8,321,324.2,49758
7/12/2026,IBP,19.3,18.1,18.3,6167292
7/12/2026,ICB,47.7,46.1,46.9,305095
7/12/2026,ICB3RDNRB,5.7,5.4,5.6,1009901
7/12/2026,ICBAGRANI1,8.2,7.5,8.2,1181839
7/12/2026,ICBAMCL2ND,7.2,6.8,7,467312
7/12/2026,ICBEPMF1S1,6.7,6.4,6.5,1703727
7/12/2026,ICBIBANK,2.8,2.7,2.7,755457
7/12/2026,ICBSONALI1,6.4,6,6.4,3335705
7/12/2026,ICICL,33.9,32.8,32.9,1719134
7/12/2026,IDLC,44.7,42.6,44.3,1593956
7/12/2026,IFADAUTOS,27.4,26.4,27.2,2005223
7/12/2026,IFIC,5,4.8,4.9,1214322
7/12/2026,IFIC1STMF,3.9,3.6,3.9,5512464
7/12/2026,IFILISLMF1,5,4.7,5,1783497
7/12/2026,ILFSL,1.3,1.1,1.1,437389
7/12/2026,INDEXAGRO,80.9,78,78.9,491804
7/12/2026,INTECH,29.6,26.1,26.3,960917
7/12/2026,INTRACO,22.9,22.1,22.1,577312
7/12/2026,IPDC,34.9,32.5,33.3,6614500
7/12/2026,ISLAMIBANK,32,31.2,31.7,207138
7/12/2026,ISLAMICFIN,11.5,11.2,11.3,412383
7/12/2026,ISLAMIINS,65.4,63.9,64.4,445841
7/12/2026,ISNLTD,62.5,60.1,60.3,342035
7/12/2026,ITC,53.3,51,51.5,5115922
7/12/2026,JAMUNABANK,23.8,23.3,23.8,1393425
7/12/2026,JAMUNAOIL,185.6,182.2,184.2,44280
7/12/2026,JANATAINS,37.4,35.9,37.2,1964068
7/12/2026,JHRML,55.3,53.9,54.1,649176
7/12/2026,JMISMDL,160.8,156,156.7,49406
7/12/2026,JUTESPINN,218,206,208.9,11968
7/12/2026,KARNAPHULI,47.6,45.5,46.4,3520783
7/12/2026,KAY&QUE,435,426,431.4,41096
7/12/2026,KBPPWBIL,41.9,39.8,40.1,2142423
7/12/2026,KBSEED,11.5,11,11.2,121283
7/12/2026,KDSALTD,53.9,52.9,53.1,1007865
7/12/2026,KEYACOSMET,5.3,5.1,5.2,1839652
7/12/2026,KFL,15.4,14.2,14.3,140948
7/12/2026,KOHINOOR,513.6,507.4,509.9,12002
7/12/2026,KPCL,10.7,10.1,10.3,1412928
7/12/2026,KPPL,15.4,14.5,14.6,641593
7/12/2026,KTL,11.1,10.6,10.7,695911
7/12/2026,LANKABAFIN,17,16.5,16.8,2363807
7/12/2026,LEGACYFOOT,70.7,69.1,69.9,361011
7/12/2026,LHB,57,56.1,56.5,1867745
7/12/2026,LIBRAINFU,647.6,638,639.5,6616
7/12/2026,LINDEBD,722.9,715,721.3,15169
7/12/2026,LOVELLO,77.9,70.9,76.4,9282378
7/12/2026,LRBDL,16.3,15.3,15.3,758091
7/12/2026,LRGLOBMF1,4,3.7,3.9,2542032
7/12/2026,MAGURAPLEX,97.4,94.9,95.2,403844
7/12/2026,MAKSONSPIN,6.1,5.7,5.7,829411
7/12/2026,MALEKSPIN,45.9,43.7,44.2,8155387
7/12/2026,MAMUNAGRO,25.1,24.4,24.5,470311
7/12/2026,MARICO,2743.5,2726,2730.9,3208
7/12/2026,MASTERAGRO,10.8,10,10.1,149760
7/12/2026,MATINSPINN,62.9,59.1,59.8,174716
7/12/2026,MBL1STMF,4.6,4.2,4.6,3104404
7/12/2026,MEGCONMILK,39.1,35.4,36.1,270690
7/12/2026,MEGHNACEM,32.8,31.6,32.2,5922
7/12/2026,MEGHNAINS,41.5,40.7,41.5,4920161
7/12/2026,MEGHNALIFE,67.5,63.5,66.5,1509083
7/12/2026,MEGHNAPET,86,80.7,82.5,283993
7/12/2026,MERCANBANK,7.7,7.6,7.6,328100
7/12/2026,MERCINS,46.4,44.6,45.7,1518871
7/12/2026,METROSPIN,9.7,9.1,9.1,312746
7/12/2026,MHSML,24,23,23.1,2563482
7/12/2026,MIDASFIN,6,5.8,6,26021
7/12/2026,MIDLANDBNK,16.6,16.1,16.5,1356168
7/12/2026,MIRACLEIND,29.1,28.3,28.4,157421
7/12/2026,MIRAKHTER,42.8,41.6,41.7,572747
7/12/2026,MITHUNKNIT,14.9,13.6,14.3,166447
7/12/2026,MJLBD,96.9,95.5,96.7,299295
7/12/2026,MKFOOTWEAR,122.9,113.8,120.4,74253
7/12/2026,MLDYEING,12.8,12.3,12.4,2959739
7/12/2026,MONNOAGML,363.8,352.1,361.8,40624
7/12/2026,MONNOCERA,101.7,96.8,100.2,881555
7/12/2026,MONNOFABR,23,22.6,22.7,1558283
7/12/2026,MONOSPOOL,125.4,120.7,121.4,637438
7/12/2026,MOSTFAMETL,10.9,10.2,10.3,327403
7/12/2026,MPETROLEUM,217,212.3,215.9,22386
7/12/2026,MTB,14.4,13.7,14.2,3287522
7/12/2026,NAHEEACP,42,40,41.5,2035476
7/12/2026,NATLIFEINS,114,108.1,112,218952
7/12/2026,NAVANACNG,23.6,22.8,23.2,286156
7/12/2026,NAVANAPHAR,74.6,73.2,73.5,927921
7/12/2026,NBL,3.9,3.7,3.8,583677
7/12/2026,NCCBANK,15.3,14.8,15.1,6653663
7/12/2026,NCCBLMF1,5.3,4.9,5.3,911834
7/12/2026,NEWLINE,5.4,4.9,5.1,846479
7/12/2026,NFML,21.2,20.2,20.4,2959843
7/12/2026,NHFIL,32.5,31.4,32,1912397
7/12/2026,NIALCO,37.6,32.3,33.3,76825
7/12/2026,NITOLINS,39.4,37.8,38.2,344315
7/12/2026,NORTHERN,115,102,107.1,17066
7/12/2026,NORTHRNINS,42.6,40,42.3,1302576
7/12/2026,NPOLYMER,35.2,34.3,34.9,542256
7/12/2026,NRBBANK,6.1,5.9,6,327833
7/12/2026,NRBCBANK,7.4,7.2,7.3,76600
7/12/2026,NTC,170,167,168.9,24346
7/12/2026,NTLTUBES,77,73.5,74.1,411189
7/12/2026,NURANI,2.8,2.7,2.7,717805
7/12/2026,OAL,6.9,6.6,6.6,446976
7/12/2026,OIMEX,17.2,16.3,16.8,667725
7/12/2026,OLYMPIC,162,157.1,161.1,277286
7/12/2026,ONEBANKPLC,7.9,7.7,7.7,414879
7/12/2026,ORIONINFU,301,294.2,295.5,170531
7/12/2026,ORIONPHARM,31.1,30.7,30.8,508092
7/12/2026,ORYZAAGRO,10.8,10.1,10.2,186598
7/12/2026,PADMALIFE,19.5,18.6,19.3,168688
7/12/2026,PADMAOIL,205.4,202.8,203,56859
7/12/2026,PARAMOUNT,66.5,64.2,64.6,493655
7/12/2026,PDL,5.7,5.3,5.3,1123204
7/12/2026,PENINSULA,25.7,24.5,24.8,1518425
7/12/2026,PEOPLESINS,63.1,61.5,61.8,1095888
7/12/2026,PF1STMF,11.3,10.8,10.9,3014515
7/12/2026,PHARMAID,604.2,583.1,593.4,15365
7/12/2026,PHENIXINS,47.8,46.2,47.3,1491843
7/12/2026,PHOENIXFIN,3.8,3.5,3.6,306018
7/12/2026,PHPMF1,3.6,3.3,3.6,5760786
7/12/2026,PIONEERINS,73.8,71.9,72.3,835958
7/12/2026,PLFSL,1.4,1.2,1.3,1312680
7/12/2026,POPULAR1MF,3.6,3.3,3.6,3295549
7/12/2026,POPULARLIF,67.1,63.2,65.9,1741776
7/12/2026,POWERGRID,40.7,39.4,40,252866
7/12/2026,PRAGATIINS,85.6,84,84.8,610146
7/12/2026,PRAGATILIF,199.4,194,196.4,463957
7/12/2026,PREMIERBAN,4.9,4.7,4.8,194010
7/12/2026,PREMIERCEM,56,52.8,54.3,1358888
7/12/2026,PREMIERLEA,2.3,2.1,2.2,410789
7/12/2026,PRIME1ICBA,5.8,5.4,5.8,725140
7/12/2026,PRIMEBANK,30.1,29.8,30,961854
7/12/2026,PRIMEFIN,3.3,3.1,3.1,258916
7/12/2026,PRIMEINSUR,51.1,47,49.3,2257150
7/12/2026,PRIMELIFE,46.2,43.5,45.4,527876
7/12/2026,PRIMETEX,17.5,16.1,16.3,286551
7/12/2026,PROGRESLIF,43.7,41.6,43.4,33604
7/12/2026,PROVATIINS,67.4,61.8,62.9,1416748
7/12/2026,PTL,68,66.8,66.9,1202786
7/12/2026,PUBALIBANK,37.2,35.8,37,397586
7/12/2026,PURABIGEN,34.9,33.6,33.9,2290806
7/12/2026,QUASEMIND,46.2,45.5,45.7,972930
7/12/2026,QUEENSOUTH,16.8,16.1,16.2,2484129
7/12/2026,RAHIMAFOOD,88.2,79.8,83.6,122891
7/12/2026,RAHIMTEXT,227,218.2,219.3,51705
7/12/2026,RAKCERAMIC,30.9,30.3,30.4,647090
7/12/2026,RANFOUNDRY,167.5,161.8,165.5,49370
7/12/2026,RDFOOD,29.8,28.8,29.6,2755282
7/12/2026,RECKITTBEN,3330,3312,3327.8,411
7/12/2026,REGENTTEX,6.3,5.8,5.9,682987
7/12/2026,RELIANCE1,12.6,12,12.4,2514868
7/12/2026,RELIANCINS,128.2,121,123.2,492122
7/12/2026,RENATA,464.5,460.5,463.9,30405
7/12/2026,RENWICKJA,800,757.1,792.8,2481
7/12/2026,REPUBLIC,42,39.9,40.3,1112804
7/12/2026,RINGSHINE,3.8,3.6,3.7,1285833
7/12/2026,ROBI,32.8,32.3,32.5,2381485
7/12/2026,RSRMSTEEL,8.1,7.6,7.8,228321
7/12/2026,RUNNERAUTO,43.7,42.8,43,794314
7/12/2026,RUPALIBANK,17.2,16.9,17,55928
7/12/2026,RUPALIINS,31.7,30,30.5,2274367
7/12/2026,RUPALILIFE,99.7,95.2,99.1,801675
7/12/2026,SADHESIVE,84.5,78.2,82.2,1074
7/12/2026,SAFKOSPINN,21.9,20.9,21,91739
7/12/2026,SAIFPOWER,10.4,9.5,9.6,1541028
7/12/2026,SAIHAMCOT,20.8,20.5,20.5,3213491
7/12/2026,SAIHAMTEX,19.8,19.3,19.4,1973896
7/12/2026,SALAMCRST,14.7,14,14.3,269540
7/12/2026,SALVO,38.2,37.6,37.7,760398
7/12/2026,SAMATALETH,96.3,94,94.2,65862
7/12/2026,SAMORITA,97.5,94,94.6,390225
7/12/2026,SANDHANINS,28.7,26.1,28.6,3412658
7/12/2026,SAPORTL,51.1,49.5,50.5,4383217
7/12/2026,SBACBANK,6.4,6.3,6.4,101801
7/12/2026,SEAPEARL,44.9,42.6,42.9,3764446
7/12/2026,SEB1PBOND,4600,4600,4600,1
7/12/2026,SEMLFBSLGF,7.1,6.6,7,1125774
7/12/2026,SEMLIBBLSF,8.2,7.5,8,560836
7/12/2026,SHAHJABANK,17.6,17.4,17.4,170108
7/12/2026,SHARPIND,27.6,25.8,27.2,3574525
7/12/2026,SHASHADNIM,27.4,26.3,27,2551987
7/12/2026,SHEPHERD,17.3,16.8,16.9,2701562
7/12/2026,SHURWID,6.7,6.1,6.1,237304
7/12/2026,SHYAMPSUG,324.1,294.2,294.3,58377
7/12/2026,SICL,42.4,40.1,41.4,2917669
7/12/2026,SILCOPHL,21.4,20.7,21.2,1456144
7/12/2026,SILVAPHL,16.3,15.5,15.6,1637441
7/12/2026,SIMTEX,28.7,28.1,28.2,2577260
7/12/2026,SINGERBD,75.5,73.5,74,61154
7/12/2026,SINOBANGLA,59.4,58.2,58.4,730749
7/12/2026,SIPLC,111,107.1,109.4,170587
7/12/2026,SKTRIMS,14.4,13.5,13.6,202951
7/12/2026,SONALIANSH,234,224,224.7,646030
7/12/2026,SONALILIFE,87.6,84.5,87.1,636955
7/12/2026,SONALIPAPR,264,250,250.5,336406
7/12/2026,SONARBAINS,47.7,46,46.2,2022446
7/12/2026,SONARGAON,97.3,92,93.3,272954
7/12/2026,SOUTHEASTB,10.3,9.9,10.2,1871784
7/12/2026,SPCERAMICS,24.6,23.5,24.2,2483158
7/12/2026,SPCL,59.4,58,58.5,1561432
7/12/2026,SQUARETEXT,53,51.5,51.8,163239
7/12/2026,SQURPHARMA,222,220.8,221.3,299132
7/12/2026,SSSTEEL,7.4,7,7.1,1507042
7/12/2026,STANCERAM,73.5,71.2,71.5,17031
7/12/2026,STANDARINS,55.6,53.9,54.3,888866
7/12/2026,STANDBANKL,4.8,4.6,4.7,497388
7/12/2026,STYLECRAFT,60.4,57.6,59.2,31380
7/12/2026,SUMITPOWER,17.9,16.8,17.7,5324073
7/12/2026,SUNLIFEINS,81.9,78,79.1,986534
7/12/2026,TAKAFULINS,51.4,47.8,48.7,248001
7/12/2026,TALLUSPIN,8.3,7.9,8,497790
7/12/2026,TAMIJTEX,136.7,132.5,135.3,198223
7/12/2026,TECHNODRUG,43.6,42.5,42.6,1563967
7/12/2026,TILIL,57.7,55,56.7,1736724
7/12/2026,TITASGAS,22.2,20.7,21.8,3742112
7/12/2026,TOSRIFA,26.3,23.8,24.3,2156223
7/12/2026,TRUSTB1MF,3.5,3.2,3.5,5466133
7/12/2026,TRUSTBANK,15.7,15.5,15.6,1519844
7/12/2026,TUNGHAI,2.9,2.7,2.7,667791
7/12/2026,UCB,9.1,9,9,470240
7/12/2026,UNILEVERCL,2084.9,2055,2066.9,786
7/12/2026,UNIONCAP,4.6,4.5,4.5,260515
7/12/2026,UNIONINS,50.3,45.9,50,3080427
7/12/2026,UNIQUEHRL,49.4,47.9,48.2,1503571
7/12/2026,UNITEDFIN,17,16.1,16.8,1479298
7/12/2026,UNITEDINS,48.5,46.1,47.3,368699
7/12/2026,UPGDCL,131.5,127.8,129.5,162405
7/12/2026,USMANIAGL,74.1,66,67.5,229775
7/12/2026,UTTARABANK,21.7,21.4,21.5,3501443
7/12/2026,UTTARAFIN,13.3,13.2,13.2,30318
7/12/2026,VAMLRBBF,8.3,7.5,8,546950
7/12/2026,VFSTDL,17.1,16.5,16.6,2213852
7/12/2026,WALTONHIL,414,396.3,410.3,83387
7/12/2026,WATACHEM,146.3,141.3,144.6,157785
7/12/2026,WEBCOATS,33.5,30.5,31.4,37039
7/12/2026,WMSHIPYARD,10.5,10,10.1,1550256
7/12/2026,WONDERTOYS,31,29.6,29.8,54101
7/12/2026,YPL,25.5,23.4,24,717098
7/12/2026,ZAHEENSPIN,5.6,5.2,5.3,631501
7/12/2026,ZAHINTEX,9.5,8.7,8.7,642484
7/12/2026,ZEALBANGLA,217.9,187,200.2,79731
